date,user_id,transaction_id,transaction_amount
2022-04-23 17:15:52,U002,T4014,155.58
2022-04-23 15:54:03,U007,T3493,798.74
2022-04-23 09:12:43,U007,T9490,348.3
2022-04-23 13:40:36,U007,T8995,733.18
2022-04-23 11:29:47,U008,T1047,84.81
2022-04-07 17:46:16,U007,T2719,81.73
2022-04-07 09:54:03,U010,T2766,502.77
2022-04-07 13:07:58,U005,T7262,310.49
2022-04-07 15:20:28,U001,T7540,304.0
2022-04-07 11:57:23,U001,T5914,287.95
2022-04-07 11:57:58,U008,T9935,359.77
2022-04-07 09:36:18,U007,T4922,243.47
2022-04-07 17:17:53,U010,T2445,900.7
2022-04-07 13:16:04,U007,T1433,324.43
2022-04-06 15:57:16,U004,T3319,598.74
2022-07-06 15:41:43,U001,T6006,708.69
2022-07-06 15:42:43,U002,T6006,708.69
2022-07-06 15:43:43,U003,T6006,708.69
2022-07-06 15:44:43,U004,T6006,708.69
2022-07-06 11:46:53,U002,T1066,406.78
2022-07-06 13:05:24,U003,T9630,544.8
2022-07-06 09:53:05,U008,T9718,943.19
2022-07-06 17:37:06,U001,T1714,425.44
2022-04-05 15:57:16,U004,T3319,598.74
2022-07-05 15:41:43,U001,T6006,708.69
2022-07-05 15:42:43,U002,T6006,708.69
2022-07-05 15:43:43,U002,T6006,708.69
2022-07-05 15:44:43,U004,T6006,708.69
2022-11-04 17:04:54,U007,T3239,749.9
2022-11-04 13:32:17,U005,T1416,426.91
2022-11-04 09:02:27,U009,T7921,638.51
2022-11-04 11:17:46,U002,T2476,586.87
2022-11-04 15:41:46,U007,T6350,301.41
2023-12-20 17:06:28,U002,T4634,960.13
2023-12-20 13:28:56,U009,T9506,306.03
2023-12-20 15:27:32,U007,T9331,786.1
2023-12-20 11:34:13,U006,T1887,417.87
2023-12-20 09:32:16,U008,T6232,925.7
2023-03-04 11:32:28,U003,T3737,843.82
2023-03-04 09:33:48,U002,T9590,946.46
2023-03-04 15:47:27,U001,T9292,603.29
2023-03-04 17:21:14,U002,T1552,303.96
2023-03-04 13:24:04,U006,T2659,769.26
2023-12-08 09:19:07,U009,T5114,818.74
2023-12-08 15:00:38,U008,T2554,663.0
2023-12-08 17:41:16,U007,T7234,702.4
2023-12-08 11:33:19,U005,T4286,596.28
2023-12-08 13:52:58,U006,T7161,562.81
2022-07-09 15:57:16,U004,T3319,598.74
2022-07-09 15:41:43,U001,T6006,708.69
2022-07-09 15:42:43,U004,T6006,708.69
2022-07-09 15:43:43,U004,T6006,708.69
2022-07-09 15:44:43,U004,T6006,708.69
2023-05-24 09:12:10,U006,T2909,573.27
2023-05-24 17:34:29,U010,T5093,413.38
2023-05-24 13:02:55,U005,T5337,616.99
2023-05-24 15:01:19,U009,T4090,537.87
2023-05-24 11:25:00,U005,T9716,87.36
2023-06-08 09:38:55,U006,T1344,151.94
2023-06-08 15:19:51,U003,T3556,738.19
2023-06-08 13:42:33,U005,T6658,429.81
2023-06-08 17:11:29,U003,T3551,912.62
2023-06-08 11:01:20,U009,T5923,118.95
